108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,Region
2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,
220951.85008410827,219415.77580353417,217911.06741368244,216566.74705052355,215438.35634367447,214418.65095084457,213526.17329627424,212586.79238561456,211653.42842012597,210803.5954685596,210315.65251732097,210219.05890410143,210491.3754090475,210815.24976643128,211160.47279328623,211532.67358835076,211885.7666137423,211931.00565903744,211426.45494682156,210572.9755721606,209636.97439817063,208780.81372930855,207919.85409407265,207230.171951592,206630.78411110555,206031.83186567156,205339.25213336773,204681.7846212696,204095.30266190125,203593.4463308661,203093.9721194308,202641.9246201017,202081.6640119032,201476.24429816395,200955.5571837651,200696.42174933432,200621.5366618007,200821.97786678388,201454.13055216204,202437.00955259355,204576.71326478224,205518.81753398603,206375.48718924468,207193.4914655747,208077.39355611787,208931.0706562961,209592.2076270558,210354.0278971894,211257.40926163655,212150.93930351236,212887.4963239508,213694.9764024417,214798.6264185329,215883.28785312313,216941.3128394198,217853.54309350692,218791.5056577616,219467.0672079625,219993.252144975,220460.33142073196,220847.2984275468,221434.4916897424,222058.453766049,222944.09893766255,223539.38313562665,224008.8839725836,224349.6164097296,224775.4079362705,225094.37124266732,225419.9307029634,225775.64101796295,226185.72651288728,226570.8739402146,226941.4167252937,227328.64350374744,227798.0851998476,228230.496452259,228831.17994406505,229612.804666318,230546.32237605125,231762.94125494835,233012.93776831464,234382.4145321327,235659.72786463812,236647.77157848733,237123.11002587897,237271.10333515317,237408.58821374073,237784.7057229684,238137.61336397615,238558.90007005015,239134.60078211027,239992.1169555171,241047.10478248112,242149.1882257076,243216.04008002672,244237.29898974157,245136.1632676675,246054.82140980507,246799.61752313157,247514.3139163016,248071.88247435377,248648.41010738385,249301.71911715515,250202.99051812664,251168.69948319776,252187.7410254079,253094.42134724752,254024.103679018,255146.98435309087,256096.00497553268,256962.90166567377,257390.7492027435,258173.90172575877,258987.480487351,259967.82109057615,260578.83268649413,261161.57501071473,261702.76653234745,262449.2517608569,266407.37674830115,267463.0021558639,268238.8502093086,268871.37862290937,269639.41884571273,270453.469586415,271415.986206159,272649.6195015597,274146.993910097,275878.03628466907,277619.02222110843,279285.3486736859,280653.0726010525,281403.20751712576,281891.85701849574,282714.07284265995,284603.45588277065,295525.4517436342,299396.49227323703,303026.0451379993,306716.047946491,310501.3899616713,314521.5727694919,318778.2740238498,322964.2953215675,326172.867252616,327949.43311507005,328480.0923885061,329054.27207957144,330425.5530107987,332780.50043458387,336703.92409280455,341295.49773776834,346568.91666958784,351617.99871934025,356213.3082492706,360057.357954662,362000.0627805451,362253.42849708867,361187.6707290217,360469.6491288783,360292.0707403723,360128.1985058494,360364.08104289096,360826.7613683958,362607.1843381102,364504.0275770748,367245.2010499949,370055.27588056214,372942.84022848425,Southeast
322070.35647887766,317169.4878826663,313109.8941616825,309295.61970632634,305599.699025055,302369.58449983975,299973.7397093137,297971.1332080237,296402.56367637287,295566.2068162067,296388.9136506581,298272.6321189125,300185.7500666254,300984.45359772065,302005.1681372183,303276.76160832,304676.98303417163,304611.86580941646,303487.0891608442,301566.56377116893,299607.3840331722,297505.87043938367,295644.4476111836,294318.3852505958,293285.348410938,292295.4530169875,290837.608561191,289286.1436745734,286955.7761530274,285080.0689735602,283446.5568605218,281664.93967622326,279538.45567308785,277268.2848045895,276147.040605773,275416.0436541835,275038.85941613885,274481.44222960895,273862.1161703441,273442.91886813386,274750.1967508292,276329.56219449244,278829.78680119995,282224.62776764034,286595.29407888016,291410.17363440356,296542.4044128459,301345.0854213196,305530.6587047374,309052.47545264335,313159.88051262783,318796.9224876081,325660.93737726635,332590.8170441415,339261.41200664523,345829.9616313893,352349.5108255604,357816.5400654993,362216.95830931753,365394.56023858226,368029.8772019328,370426.6988506527,373354.6891530433,376510.7622371265,379121.1099236384,380862.20619957783,382415.04223404714,384980.6619447312,388257.28796891327,391891.98078908445,395224.1494369661,398116.1586454685,400523.25957842154,402476.8400761068,404416.38151833013,406636.3173027658,408912.2291067087,410705.64371275343,411934.88250312326,413033.9557869043,414386.9897249952,415522.14072340744,416574.57262941,419819.7027248326,425215.59056146094,431329.6380537692,435981.5081004628,439113.1719997886,441886.4893722826,442973.7058401396,442743.435151404,441230.6254883003,440738.9812168812,441636.8139361599,444119.1310162912,448956.2970909159,455349.9378175737,462279.3828316894,467971.4821939899,472164.03665557224,475808.2476574457,477639.7181434832,479246.7690334304,480929.7275042185,484432.32655617694,488284.1474461604,492759.6270585403,497790.1997292175,503337.56203786144,508413.2925105852,512603.8075781229,516458.5677101992,519607.7549732192,522503.8660403732,525604.3885350575,529145.626861901,532921.2069963901,535652.1523421141,537276.9837012031,537082.280004527,533849.0500559147,533506.8233201223,533341.3387114018,533932.6653781328,535805.6652095928,538594.9249099549,541849.5056444118,545374.3663652339,548996.0042511474,551875.5912784588,554157.7707008858,556316.7271036796,558368.1430522247,558697.2159264325,557606.8102353436,557594.9287677798,561124.8246123911,589868.0167733001,601037.0870922237,610258.3269003844,618095.1606121529,625140.6254764883,634199.600407422,644951.4568305984,656394.3880083641,667186.793216051,675093.9287025054,680943.722874687,686049.2204644829,692386.2511471319,699932.7308369307,709957.1882418097,722503.1180168675,737545.4552819584,751385.8327503329,761988.3111230399,767758.0725621848,768153.7690050517,763543.6480222676,756127.1878578252,749553.0979156814,744449.634644153,739314.4290583162,732980.0105382471,727511.3947171011,725149.4099569287,725727.307926077,728975.4039239228,734240.5652951248,741788.741220261,West
171955.29097071724,168683.95597164863,165606.43025616757,162539.03515140052,159570.53162540062,156749.23410193136,154337.46813699065,152116.28939242972,150082.4759981927,148361.88789150133,147214.94608321055,146343.3896937867,145673.40419756834,145090.406805184,144691.79149911503,144340.7177913949,143885.5883397614,143203.833272201,142261.99597631872,141086.44198961003,139802.72904770574,138460.06311819682,137100.26231347784,135804.0328083356,134509.37012735227,133281.98754507842,132026.5354874507,130809.20790909928,129592.60878154352,128494.7478480451,127484.98880918747,126691.27395603662,126094.6000531966,125752.82039630743,125578.4670610384,125499.38871272471,125528.55519070863,125648.1473485548,125846.24511635255,126220.0761221149,127372.77888054482,128040.88329505122,128640.34511557552,129275.80336574242,130045.59326469594,131112.593142725,132523.22460514295,134111.25287873228,135722.55163440606,137355.370324951,139055.25449378652,140979.2152368886,142881.87375732473,144721.11945548083,146497.42885234626,148236.19705460555,150082.21165674497,151722.67744591643,153383.5684513724,154945.50029785014,156620.5539383722,158203.27768015835,159625.2744064021,161024.59426147988,162189.0442856803,163390.19290011024,164419.47277332973,165483.5974695912,166384.92764842868,167502.94312254852,168823.02684957444,170258.7946242081,171521.8789426051,172642.6445132908,173769.27150027934,175037.9939365741,176323.31688532358,177778.57748912004,179321.34835391756,181010.76341064353,182786.8519405066,184504.78694550367,186105.99223508863,187570.54935248377,188947.51024614228,190204.24951199707,191538.02653271228,192862.9960533041,194276.05142749133,195513.34705776232,196795.87733747836,198246.1402481552,199855.4550751236,201338.75730564815,202575.17228314935,203666.6881087712,204893.0987516127,206312.71445343897,207829.35083420773,209174.53713219808,210585.8274288613,211939.9989992817,213448.4777815684,214887.25984853168,216412.16879340136,217961.63771865927,219587.23629171212,221129.81233390505,222581.7894019252,224102.71211408975,225557.09732791173,227007.13200827033,228207.98623728115,229716.28496480917,231184.03565967883,232672.1464522519,233909.45348184113,235225.24750685637,236641.67430498908,237882.47874175568,240135.07671230787,240408.3763052287,240831.83053799171,241387.65436910783,242141.55647926047,242897.1483479535,243903.74771142643,245279.8267522957,246970.1445775877,249007.88919899004,250922.82191986885,252608.46263322153,253648.1363794201,253987.4153406791,254184.91661825348,254821.19637008477,256448.8792574854,265681.73390523833,269239.84321815294,272945.8701138667,276660.94152477157,280619.6134343126,285007.8614971381,290276.17357658455,296703.55692425213,303428.3864348216,309591.9828344832,314769.840914645,319773.15180593386,325225.94461477315,331024.926823883,338142.8004913211,346307.5061662714,355775.0763357356,365352.7038684315,374246.2094606886,381970.6627393437,387246.95517581096,389890.7413643775,390179.9262156508,389704.88860044605,389051.26456148736,387631.45558057254,386088.6605803988,384818.56958910497,384852.7950001255,385225.0560717874,386216.4869733422,387983.9150202537,390051.9020449409,Southeast
308144.5144971135,306429.88179848855,304775.10911747464,302655.8596869249,300396.0290368932,298122.7837571828,296046.139632943,294254.8620832767,292744.2634701407,291637.85053142946,290896.716835014,290598.64089949155,290524.00831115973,290592.3558328683,290532.20855021005,290430.8998460546,290170.3333324984,289733.62575455656,288957.5395721496,287759.7419800713,286122.95219955855,284195.4414762769,282305.5490095928,280565.854375845,279140.1917479794,277794.4088557046,276410.66677906184,274797.6408663327,272968.9649139389,271009.36891019566,268919.49851730047,267048.6227320177,265413.36111623974,263949.97419164464,262398.46492964233,260787.9379315588,259493.73570545157,258979.51415315384,259516.467684414,260336.15368540687,261179.69319514465,261158.70474107208,260639.2819789788,260438.744679558,260323.2298909152,260688.71944422575,261116.48940020832,261772.7996165546,262391.9352797086,262882.14466711105,263422.26870376716,264315.38474207534,265355.4092189379,266525.3318583419,267878.4688645206,269479.27931368485,271072.53707731655,272008.67130286875,272728.9396548453,273728.59215589473,275462.6777315132,277711.464380718,279893.0077816394,282065.6304581527,283522.8627850974,284528.05529210326,285018.6384922326,285530.27159979247,285895.7759449915,286155.4149270198,286280.99277488084,286366.00246053026,286575.19365263236,287110.07652719255,287682.34921740135,288512.65258386376,289086.2884014428,289882.5927353999,290923.3225657217,292435.2018340749,294217.2961865864,295791.5164567414,297164.29779137956,298179.7592017351,298878.81100884144,299147.1030060855,299576.3441415616,300234.37331963325,301175.75879394874,301911.7315920789,302455.76843232877,302770.4364824427,303182.6630277244,303746.7058351973,304868.6604045224,305934.1811908879,307056.85809688776,307953.6316220433,309337.713467404,310906.80893247755,312576.96650716447,313842.9087710712,314804.35915659135,315720.75272319064,316851.3703746987,318201.6214692562,319458.3169995464,320631.7017007577,321714.2971635547,323209.33354633406,324660.4485957988,326195.19824586733,327508.2227682872,329152.5937191215,330562.9890342455,331619.4184312929,332149.3502172057,332910.1495136817,333830.258185273,334975.76581938,340098.4139949099,341677.76100955106,342838.11489517114,343460.7116716176,344004.7498499557,344322.1588648521,345056.90598425525,346422.2562900922,348199.2586604503,350492.6219258155,352765.50043604104,355587.4149414817,358296.94980688096,360325.0901868956,361162.14236620016,361306.0122458561,362332.7286775669,375789.85711912025,381874.0027862101,387554.7025343476,393331.8012446929,398669.0261216332,404125.4104491081,409467.8911148342,414709.20460926945,419489.20935537905,422813.0606481852,424909.90135698486,426734.2379582753,429355.0170892084,432560.3105214539,436505.3111833509,441029.66965178493,446761.55699332297,452799.51048466825,458987.2054465576,464190.4266720757,467125.0201042099,467336.4048645151,465866.08010788943,464899.46627977135,464581.6593126477,464273.2504905411,466236.689801261,468928.5798768049,473208.4068813722,476033.1555791889,479612.975901478,483589.2601775902,487867.5539265019,Northeast
134161.93647658697,133907.02731079495,133800.3401420885,133785.08898500935,133786.8022288409,133765.7694928988,133778.59867669863,133668.88437179165,133523.35384684743,133329.36041029738,133372.7847384358,133495.47344432876,133552.23420714235,133536.20044841606,133556.98368741924,133726.05248302256,133922.39626453284,133968.5753712765,133733.41758988853,133277.07606120035,132736.05106442634,132191.57253554757,131626.6417051657,131136.24862795416,130706.51674900936,130253.40597152262,129807.79089955451,129380.3934866214,129043.18172086452,128699.77512951149,128510.2214673176,128399.62328118668,128361.46575658277,128255.39486164792,128055.21583358428,127821.03074000993,127711.01703793072,127865.3978591598,128148.91286482276,128453.9911690578,129252.7850992304,129752.24431168391,130108.94703515556,130403.33825023468,130694.032988019,131047.91727541578,131426.37704676433,131938.711450622,132577.5923540468,133324.51418036403,134049.70267359095,134884.88840199684,135883.1986558557,136838.04880706072,137758.35167724357,138467.46431456288,139271.81738497657,140015.63750143792,140851.28809791402,141857.5130225618,143008.791109307,144190.54454814122,145211.79449055728,146230.93673929956,147261.3573002617,148437.26103332223,149504.23775273914,150453.10671622527,151141.0722233293,151989.88948565713,152965.45605616015,154154.08077774374,155373.69871954792,156562.24307827838,157688.16350387948,158776.4810742133,159855.3424920849,160969.4521420059,162133.12413832045,163357.11576638962,164614.58152601443,165742.97065132973,166887.8196565257,168085.8223013786,169306.7907236947,170205.6917145812,171070.37726329445,171920.03820975625,172924.61564123092,173766.13323217726,174587.86704061428,175530.55222901914,176565.68388107014,177726.4090874589,178846.35168765517,179929.81974850013,180892.5739498702,181904.81852737904,183046.2282045243,184081.107549478,185026.6202379207,185770.9857348622,186563.04470801237,187368.03160168856,188319.7053987939,189346.6011214858,190472.7782872559,191575.8496698042,192574.37421020516,193723.82613020125,194785.8672795371,195894.21561280976,196748.7299665647,197744.51912028712,198652.91139687228,199548.1240047937,200242.75979988757,201028.46125152547,201902.45847328016,202781.5146645572,204857.23617109447,205375.23977229817,205868.59768292317,206396.73430430703,207037.07789963487,207727.5192037711,208623.87051309668,209669.79457109843,210806.7859822845,211994.4423950009,213165.60516932665,214331.24869631455,215164.2026280526,215483.82492174613,215676.89832917193,216355.94270282556,217771.62052987653,224951.88736215103,227590.85183255267,230411.51718343692,233445.02959150387,236880.76557750325,240663.93917837637,244988.43551874728,249617.49912035817,254051.42038725503,257619.55713696763,260391.54417661147,263101.53069192194,266424.52559539076,270174.45476665796,274974.80758564384,280238.8899711743,286151.9381548487,291938.7704990697,297308.56608738576,302015.05429110513,304855.36247784476,305720.634840417,305011.9910849315,304050.85579529405,303067.5140729143,301537.9094710867,300258.6060899781,299452.24817212025,299720.29145748273,299809.67112076137,300169.11590800004,300869.9606665917,301763.1357016026,Southwest
233736.9579070376,232598.48552681075,231590.13188812265,230732.40322603544,229944.618676506,229088.64525319551,228201.4139890783,227243.3900971855,226437.1414561647,225812.9058511711,225413.7870826573,225145.71454718531,224950.66898985175,224935.7946932928,225004.80619640983,225345.60042431,225710.1061295122,226196.9485247413,226509.3155029101,226436.2678830264,225969.08696417097,225121.71349371297,224233.97871294813,223333.736631883,222699.2800632184,222213.32269748245,221915.1005948057,221514.206298694,221084.4954083428,220443.02752750323,219815.48351538897,219202.56979390455,218643.54855746753,218086.33647033095,217479.04322263473,216965.1562461656,216513.3002492911,216352.39038516628,216578.1533352024,217035.9688726708,218087.51866852844,218545.59056006445,218721.32184344815,218959.17055800956,218911.36050203216,218902.2764877058,218812.96604490897,219189.2948369368,219885.5460375024,220722.17907690708,221543.11878277425,222459.68688837605,223671.5294628803,224886.92148253764,225993.92341152224,226901.4940769365,227756.52980643377,228393.79961145436,228741.42561035696,229078.12628256815,229626.92308736336,230637.8770997488,231818.19891499248,233211.19127155247,234185.2835658002,235038.83049640345,235609.56765386215,236365.26631935392,236915.8313031809,237541.7673528957,238013.248929666,238414.35755368593,238744.3036109743,239136.8198974436,239717.58464590157,240633.64800761003,241587.0597827624,242742.24647988193,244096.92856832803,245899.39113890825,247763.72370521244,249260.64094272675,250477.50436707583,251389.9269263635,252133.3403855936,252506.75167388163,253152.14066356188,254109.43014067365,255497.2267665048,256659.34008494148,257522.8704770947,258245.01602301365,259085.634224391,260269.63426578007,261845.82155547888,263368.26944916026,265102.75931102195,266732.95158920734,268903.57423018216,270681.723672203,272229.1417138661,273378.52627587336,274742.69774367317,276151.60506959265,278677.98445667553,281545.4455642844,285018.56008529605,287785.3231962545,289797.78995736165,291812.2397821315,293914.56799655716,296745.0272571239,299285.70085172635,302022.40069011523,304664.44722558215,307415.63026214245,309252.3097274155,310460.5749956803,311083.31836591056,312487.6498774728,319224.5828667553,320597.58179438923,322425.7756258628,324451.9969635464,326842.5942705997,328421.9774052175,329673.8219667301,331439.84061213373,333505.4029246497,336042.1970556898,337977.5963244861,339678.8676401385,341146.1945166523,342462.2940156545,343270.0461259614,343649.0214715682,344260.31056582107,354244.1899852778,358980.4518031762,363573.2457330677,368468.5198550362,373148.81634273747,377527.5148613061,381956.3309106361,386166.64324848726,390453.73627754906,393817.9843629206,396346.2049269235,398873.6923797573,401684.62961251586,404604.6825669277,407878.57610074314,411822.1405144503,417108.128980498,422646.9490742157,427796.7294364117,432688.6649708205,436063.9915311323,437245.0653265337,436047.0183421248,434545.3048302266,433309.7794581035,431347.117336222,430625.29250713537,431319.5784327347,434554.6807681459,437685.26004031725,441066.61176193965,444789.1729988595,449285.4428171039,Northeast
219694.44649188963,219240.44799328933,218932.62871287577,218697.93145812632,218405.49776303372,218069.5740230442,217575.864403194,217093.3793486734,216686.89488119865,216472.11416913816,216490.5992753111,216685.57040160015,217175.49699310944,217749.8972290159,218254.38681465868,218410.434436943,218129.54727322768,217498.51826649052,216619.58117793372,215621.53670997484,214577.96888394316,213601.807692058,212701.638792142,211839.04193517097,211109.8922430149,210443.37807420816,209808.9172140792,209142.3784067589,208261.17575691888,207455.81850225935,206680.522725102,206205.71023578857,205940.99596820623,205793.9903887697,205767.2299730809,205814.21985009397,206075.50211432032,206445.0697613787,206894.2086464011,207253.94105686268,208774.75745358763,210188.3621389422,211936.1856125136,213945.46877401028,215938.98218233584,217829.28380515,219545.3306443249,221259.7756061923,222811.30942902333,223973.550587491,225012.9943667892,226236.90420611305,227920.32087248669,229879.48462281507,231948.2053681887,233954.41387621048,235911.19804516924,237625.67985495657,239206.80570448423,240542.7800221792,241893.1152246452,243184.4030303019,244620.26561708545,246171.23332513985,247746.18148725736,249427.82689307493,251112.37077904865,253155.77323558377,255384.60458697565,257895.5957513085,260607.70674620647,263613.9224823851,266916.41140373255,270115.5950750111,273138.07934849564,275945.6150642146,278660.7057657751,281531.12421220395,284592.9614963718,287837.7822818058,290890.6504358697,293805.94125808094,296630.49851161777,299515.32470396376,302277.07701792876,304963.68745455093,307820.2418571965,310646.88353515667,313318.10846215585,315544.3034355079,317350.29316388234,319039.68436505913,321010.15617482486,323574.2582585251,326581.1182986876,329523.0139657928,332689.5089104744,335901.3316451682,339226.5308041717,342043.9716492833,344232.07953367085,345738.75887818646,346970.3039390635,348383.98333128955,350188.6523241483,352376.4508319613,354995.298642315,357877.7708600338,360831.9276064209,363752.04877603025,366358.25193225377,368841.9383994663,370742.93301994895,372825.9502790345,374565.9111613999,376269.9191755163,377569.0826713218,378819.4588057073,380188.8993077711,381755.0779232909,387948.2677370594,389059.3053557995,389794.2573077196,390371.1908920065,391267.309592296,392171.3264536574,393487.2639473837,395287.3977164675,397411.92289146734,399797.68131764047,402544.045038658,405744.6870494525,408821.0699669884,410366.9505256364,410737.774256117,411062.1416716243,412965.1350966716,428096.64866512106,433913.04321257886,439552.30756554427,445575.3300037267,452629.1158766481,460657.69320722815,469376.54187871545,477920.5655635513,485062.7213813502,490138.7620038939,493507.8869267702,497032.37786478206,501768.4326160133,507459.7147090126,515046.9936618234,524548.4281524532,535831.5572405643,546547.9577141986,555017.2910154033,560162.1518383106,560499.4776666671,556737.7488498237,550890.807068783,546225.9633184556,542610.1322027957,539045.1207787916,536034.2633419301,533961.1000621746,533536.7917446698,533732.6910378184,535185.8582799326,537786.9898496098,540837.5424357391,West
309650.6237569855,307635.6685240821,305575.9353928073,303780.98123438936,302564.8852016355,301781.47569248854,301215.5079668745,300689.5919999049,300351.6854006665,300082.4692486813,300118.78954957274,300667.14272548514,301719.90874292096,303086.6731853744,304225.59220813,305373.2038551084,306125.6199745235,306719.76863309497,306561.7062870075,305923.38505098486,304395.40727590007,302674.10535740975,301045.5219332474,300172.5407176904,299449.83295077615,298413.04084256414,296927.38026894146,295609.71445162623,294481.4638397053,293707.51301950804,292949.9197398875,292162.0194871475,290939.92567879264,289336.425266241,287689.83931542066,286445.4469065734,285433.30975105433,284663.8790777158,284117.1235734522,284023.5263525536,285507.0057087923,286726.48848048795,287810.04757170257,288652.14045256237,289415.11926110066,290455.2818771875,292038.9640099073,294019.9121316178,296155.5705007687,297537.46772721206,298770.61580100225,300145.4541678705,302251.7402430346,304501.9658764841,306568.35077868844,308486.83788758103,310491.0878898298,312456.3624554566,314458.9939916707,316349.8194225275,318060.8551975332,319577.6675957542,321130.20425368776,322877.88366158324,324244.7149669119,325265.77476399514,325758.66016001144,326472.5366721226,326904.461386873,327817.8507420134,329089.774678316,331033.89089053334,333131.7392776711,335032.0678894919,336616.0130449554,338050.0399931835,339242.90790752665,340639.1671082817,342498.171593478,344902.726011696,347371.30708872405,349584.28766607604,351897.1670744621,354336.2055538185,356567.5915393291,358247.1390987504,360012.9623409984,361977.84278106416,364028.3912094628,365577.3706821739,366686.52415152633,368128.07483291946,370174.5326852645,372931.6364799056,375710.2925926345,378227.0181980487,380408.7654804061,382768.2676019206,385478.5815198056,388219.3619612407,390710.3967359378,392871.2631281957,394673.67787669506,396717.4259463507,398625.3076081243,400675.3055389637,402501.8862026839,404532.6269731223,406763.75231593475,409461.29556531383,412191.31643494446,415069.9802840778,417521.57476256514,419985.9890977598,422041.6090393227,423853.6801780714,424732.7792163062,425089.1766125098,424840.71649924526,424854.8574397874,428830.9604410042,430261.1141974218,431532.9270625464,432103.6016855615,432429.21013436886,432474.85452760686,433226.9947112769,434790.4061598077,436591.9631059813,438913.823620443,441546.4631794668,444790.45511973655,447610.8903238993,449349.0818979179,450212.3493853719,451176.6466529523,453853.4659185531,473199.994853276,480897.7719609619,487899.3592217947,494683.0058351308,501414.9642087464,508821.5379753935,516307.49854462594,523160.6227062636,527632.5470873802,529161.8811107635,528721.8331738291,528542.6256000648,529693.818702598,532005.068256285,537348.4443422719,545661.9164185268,556673.4669632219,566901.73637564,575648.1671404525,582261.5797876514,585401.8263832297,584433.7503538238,580324.2264126794,576866.6950180628,574963.4481780301,573756.7239232814,573139.6193432828,572907.8434938326,574585.7395549427,576867.3456056773,580551.2053974575,585047.7689178557,590456.9552319177,Northeast
